,CONSONANTLESS COLUMN,K COLUMN,S COLUMN,T COLUMN,N COLUMN,H COLUMN,M COLUMN,Y COLUMN,R COLUMN,W COLUMN,NASAL COLUMN
A ROW,あ,か,さ,た,な,は,ま,や,ら,わ,
I ROW,い,き,し,ち,に,ひ,み,,り,,
U ROW,う,く,す,つ,ぬ,ふ,む,ゆ,る,,
E ROW,え,け,せ,て,ね,へ,め,,れ,,
O ROW,お,こ,そ,と,の,ほ,も,よ,ろ,を,
NASAL ROW,,,,,,,,,,,ん		　 	　 	　 	
